strs_len,time_lev_cache,time_lev_matix,time_damerau_lev,time_lev_recurs
1,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,
7,0.0,0.0,0.0,11078595.317725753,
8,0.0,0.0,0.0,59375000.0,
9,0.0,0.0,0.0,320312500.0,
10,0.0,0.0,0.0,1785937500.0,
11,0.0,0.0,0.0,10064062500.0,
12,94964.72868781973,0.0,0.0,57292187500.0,
13,0.0,0.0,0.0,
14,0.0,0.0,0.0,
15,0.0,0.0,0.0,
16,157103.9059357922,0.0,0.0,
17,0.0,0.0,0.0,
18,214457.7518228909,0.0,0.0,
19,0.0,0.0,0.0,
20,254246.53728618487,0.0,0.0,
21,0.0,0.0,0.0,
22,0.0,0.0,0.0,
23,0.0,0.0,372709.72574325884,
24,0.0,0.0,0.0,
25,376439.6521330356,0.0,0.0,
26,0.0,0.0,445956.65961945034,
27,0.0,0.0,0.0,
28,437915.6487513572,0.0,0.0,
29,0.0,261424.56861796483,0.0,
30,0.0,274622.78229149396,0.0,
31,613871.6856976969,0.0,0.0,
32,624937.8171326236,0.0,0.0,
33,628903.5392088827,0.0,0.0,
34,677747.1350540859,0.0,0.0,
35,746241.1556603773,0.0,0.0,
36,790638.8361796332,0.0,0.0,
37,855786.2190812721,0.0,0.0,
38,900615.4960173788,0.0,1026535.1601188511,
39,0.0,0.0,1046676.3998625901,
40,0.0,0.0,1157734.7285067872,
41,0.0,459625.4166062889,0.0,
42,1110662.3586429725,0.0,1205012.853470437,
43,0.0,499463.2633587786,0.0,
44,1143433.1797235024,0.0,1332822.9398663698,
45,0.0,592022.172326691,1429616.5790731008,
46,0.0,676792.2398968185,1437605.6508089832,
47,0.0,676889.120421145,1590044.0705128205,
48,1428845.6994328923,0.0,1631181.3186813188,
49,1539408.8669950739,0.0,1702548.3304042178,
50,1592436.1362426823,0.0,1803626.5432098766,
51,1589483.270372369,0.0,1784617.7463923856,
52,1725570.9742700201,0.0,1992738.0543141973,
53,1773016.4670658682,0.0,2007621.4261109198,
54,1818447.7379095163,0.0,2060560.6488011284,
55,1861659.7642561325,0.0,2168825.642965204,
56,1987272.8830990745,0.0,2254839.6558466954,
