,Архангельск,Барнаул,Екатеринбург,Калининград,Москва,Санкт-Петербург,Владивосток,Якутск,Норильск,Воркута
Архангельск,0.0,2712.0,1382.0,1561.0,1006.0,741.0,5846.0,4112.0,2092.0,1109.0
Барнаул,2712.0,0.0,1521.0,4005.0,2947.0,3272.0,3671.0,2835.0,1797.0,1896.0
Екатеринбург,1382.0,1521.0,0.0,2491.0,1426.0,1797.0,5078.0,3774.0,1939.0,1201.0
Калининград,1561.0,4005.0,2491.0,0.0,1091.0,822.0,7378.0,5671.0,3653.0,2664.0
Москва,1006.0,2947.0,1426.0,1091.0,0.0,654.0,6441.0,4911.0,2901.0,1903.0
Санкт-Петербург,741.0,3272.0,1797.0,822.0,654.0,0.0,6562.0,4853.0,2832.0,1842.0
Владивосток,5846.0,3671.0,5078.0,7378.0,6441.0,6562.0,0.0,2109.0,3825.0,4741.0
Якутск,4112.0,2835.0,3774.0,5671.0,4911.0,4853.0,2109.0,0.0,2025.0,3029.0
Норильск,2092.0,1797.0,1939.0,3653.0,2901.0,2832.0,3825.0,2025.0,0.0,1005.0
Воркута,1109.0,1896.0,1201.0,2664.0,1903.0,1842.0,4741.0,3029.0,1005.0,0.0
