,Иркутск,Красноярск,Омск,Воркута,Казань,Брянск,Тверь,Краснодар,Владивосток,Калининград
Иркутск,0.0,851.0,2049.0,2737.0,3537.0,4526.0,4262.0,4710.0,2290.0,5225.0
Красноярск,851.0,0.0,1233.0,1957.0,2690.0,3677.0,3411.0,3899.0,3109.0,4376.0
Омск,2049.0,1233.0,0.0,1477.0,1531.0,2524.0,2320.0,2667.0,4334.0,3313.0
Воркута,2737.0,1957.0,1477.0,0.0,1518.0,2240.0,1857.0,2899.0,4741.0,2664.0
Казань,3537.0,2690.0,1531.0,1518.0,0.0,994.0,824.0,1392.0,5788.0,1810.0
Брянск,4526.0,3677.0,2524.0,2240.0,994.0,0.0,414.0,972.0,6761.0,922.0
Тверь,4262.0,3411.0,2320.0,1857.0,824.0,414.0,0.0,1332.0,6461.0,993.0
Краснодар,4710.0,3899.0,2667.0,2899.0,1392.0,972.0,1332.0,0.0,6999.0,1699.0
Владивосток,2290.0,3109.0,4334.0,4741.0,5788.0,6761.0,6461.0,6999.0,0.0,7378.0
Калининград,5225.0,4376.0,3313.0,2664.0,1810.0,922.0,993.0,1699.0,7378.0,0.0
