Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
;Архангельск;Астрахань;Барнаул;Екатеринбург;Иркутск;Казань;Калининград;Красноярск;Москва;Мурманск;Омск;Ростов-на-Дону;Санкт-Петербург;Чита;Владивосток;Якутск;Сургут;Норильск;Магадан;Воркута
Архангельск;0.0;2076.0;2712.0;1382.0;3775.0;1084.0;1561.0;2949.0;1006.0;592.0;2095.0;1929.0;741.0;4226.0;5846.0;4112.0;1690.0;2092.0;5059.0;1109.0
Астрахань;2076.0;0.0;2654.0;1451.0;4036.0;1052.0;2143.0;3247.0;1262.0;2655.0;2016.0;642.0;1916.0;4649.0;6326.0;5208.0;2326.0;3381.0;6343.0;2531.0
Барнаул;2712.0;2654.0;0.0;1521.0;1382.0;2234.0;4005.0;656.0;2947.0;3102.0;703.0;3160.0;3272.0;2000.0;3671.0;2835.0;1077.0;1797.0;4008.0;1896.0
Екатеринбург;1382.0;1451.0;1521.0;0.0;2819.0;719.0;2491.0;1974.0;1426.0;1914.0;822.0;1777.0;1797.0;3385.0;5078.0;3774.0;881.0;1939.0;4896.0;1201.0
Иркутск;3775.0;4036.0;1382.0;2819.0;0.0;3537.0;5225.0;851.0;4221.0;4014.0;2049.0;4530.0;4436.0;631.0;2290.0;1863.0;2108.0;2076.0;2950.0;2737.0
Казань;1084.0;1052.0;2234.0;719.0;3537.0;0.0;1810.0;2690.0;723.0;1676.0;1531.0;1152.0;1212.0;4097.0;5788.0;4390.0;1528.0;2444.0;5474.0;1518.0
Калининград;1561.0;2143.0;4005.0;2491.0;5225.0;1810.0;0.0;4376.0;1091.0;1713.0;3313.0;1577.0;822.0;5725.0;7378.0;5671.0;3119.0;3653.0;6587.0;2664.0
Красноярск;2949.0;3247.0;656.0;1974.0;851.0;2690.0;4376.0;0.0;3370.0;3233.0;1233.0;3709.0;3594.0;1416.0;3109.0;2186.0;1266.0;1504.0;3357.0;1957.0
Москва;1006.0;1262.0;2947.0;1426.0;4221.0;723.0;1091.0;3370.0;0.0;1504.0;2247.0;946.0;654.0;4759.0;6441.0;4911.0;2151.0;2901.0;5936.0;1903.0
Мурманск;592.0;2655.0;3102.0;1914.0;4014.0;1676.0;1713.0;3233.0;1504.0;0.0;2548.0;2450.0;1013.0;4397.0;5941.0;4063.0;2031.0;2116.0;4903.0;1279.0
Омск;2095.0;2016.0;703.0;822.0;2049.0;1531.0;3313.0;1233.0;2247.0;2548.0;0.0;2481.0;2601.0;2645.0;4334.0;3264.0;697.0;1765.0;4429.0;1477.0
Ростов-на-Дону;1929.0;642.0;3160.0;1777.0;4530.0;1152.0;1577.0;3709.0;946.0;2450.0;2481.0;0.0;1548.0;5124.0;6816.0;5532.0;2647.0;3597.0;6625.0;2653.0
Санкт-Петербург;741.0;1916.0;3272.0;1797.0;4436.0;1212.0;822.0;3594.0;654.0;1013.0;2601.0;1548.0;0.0;4919.0;6562.0;4853.0;2329.0;2832.0;5791.0;1842.0
Чита;4226.0;4649.0;2000.0;3385.0;631.0;4097.0;5725.0;1416.0;4759.0;4397.0;2645.0;5124.0;4919.0;0.0;1694.0;1478.0;2614.0;2335.0;2446.0;3143.0
Владивосток;5846.0;6326.0;3671.0;5078.0;2290.0;5788.0;7378.0;3109.0;6441.0;5941.0;4334.0;6816.0;6562.0;1694.0;0.0;2109.0;4290.0;3825.0;2237.0;4741.0
Якутск;4112.0;5208.0;2835.0;3774.0;1863.0;4390.0;5671.0;2186.0;4911.0;4063.0;3264.0;5532.0;4853.0;1478.0;2109.0;0.0;2893.0;2025.0;1174.0;3029.0
Сургут;1690.0;2326.0;1077.0;881.0;2108.0;1528.0;3119.0;1266.0;2151.0;2031.0;697.0;2647.0;2329.0;2614.0;4290.0;2893.0;0.0;1130.0;4017.0;827.0
Норильск;2092.0;3381.0;1797.0;1939.0;2076.0;2444.0;3653.0;1504.0;2901.0;2116.0;1765.0;3597.0;2832.0;2335.0;3825.0;2025.0;1130.0;0.0;3041.0;1005.0
Магадан;5059.0;6343.0;4008.0;4896.0;2950.0;5474.0;6587.0;3357.0;5936.0;4903.0;4429.0;6625.0;5791.0;2446.0;2237.0;1174.0;4017.0;3041.0;0.0;4033.0
Воркута;1109.0;2531.0;1896.0;1201.0;2737.0;1518.0;2664.0;1957.0;1903.0;1279.0;1477.0;2653.0;1842.0;3143.0;4741.0;3029.0;827.0;1005.0;4033.0;0.0
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;0;0;ИСТИНА;;;;;;;;;;;;;;;;;
