greedy     evap       t_max      max_diff   avg_diff   mid_diff  
0.10       0.10       5          9862.00    6009.20    5871.50   
0.25       0.10       5          6303.00    4734.70    4818.50   
0.50       0.10       5          3844.00    2379.30    2495.50   
0.75       0.10       5          3470.00    2092.70    2292.50   
0.90       0.10       5          3760.00    2712.50    2925.00   
0.10       0.25       5          7100.00    4795.80    4655.50   
0.25       0.25       5          5578.00    3842.70    3831.50   
0.50       0.25       5          5202.00    3260.30    3083.50   
0.75       0.25       5          4106.00    2800.50    3123.50   
0.90       0.25       5          4662.00    2508.20    2495.50   
0.10       0.50       5          8516.00    5758.40    5603.00   
0.25       0.50       5          5713.00    4010.90    4102.00   
0.50       0.50       5          5604.00    2706.90    2635.00   
0.75       0.50       5          3283.00    2340.40    2346.50   
0.90       0.50       5          4342.00    2625.60    2930.00   
0.10       0.75       5          6892.00    4817.40    4613.50   
0.25       0.75       5          6265.00    4375.10    4110.50   
0.50       0.75       5          4177.00    2425.10    2742.50   
0.75       0.75       5          4381.00    2768.00    2547.50   
0.90       0.75       5          4928.00    2710.60    2915.50   
0.10       0.90       5          7484.00    5360.90    5014.00   
0.25       0.90       5          5924.00    3945.70    3990.00   
0.50       0.90       5          4987.00    2821.20    2668.00   
0.75       0.90       5          3661.00    2210.30    2020.50   
0.90       0.90       5          4558.00    3232.20    3315.00   
0.10       0.10       10         9101.00    5208.50    5057.50   
0.25       0.10       10         4351.00    3223.70    3166.00   
0.50       0.10       10         3518.00    1831.30    1736.00   
0.75       0.10       10         2498.00    1346.10    1326.00   
0.90       0.10       10         3311.00    1511.40    1505.00   
0.10       0.25       10         8514.00    5678.20    5243.50   
0.25       0.25       10         5180.00    3406.20    3530.00   
0.50       0.25       10         2702.00    1942.60    1987.50   
0.75       0.25       10         3213.00    1718.00    1861.50   
0.90       0.25       10         3211.00    2226.80    2615.50   
0.10       0.50       10         7530.00    4492.10    4808.00   
0.25       0.50       10         5079.00    3184.50    3376.00   
0.50       0.50       10         2962.00    1747.90    1972.00   
0.75       0.50       10         2847.00    1838.90    2016.50   
0.90       0.50       10         2843.00    1182.50    1136.50   
0.10       0.75       10         6265.00    4892.20    5540.00   
0.25       0.75       10         5474.00    3178.80    3495.00   
0.50       0.75       10         3390.00    1709.30    1635.50   
0.75       0.75       10         3077.00    2027.80    2333.00   
0.90       0.75       10         3329.00    1823.60    1888.00   
0.10       0.90       10         5592.00    3828.70    4005.50   
0.25       0.90       10         4122.00    2640.60    2799.50   
0.50       0.90       10         3628.00    2213.40    2663.00   
0.75       0.90       10         3540.00    2108.50    2277.00   
0.90       0.90       10         3353.00    2436.80    2478.50   
0.10       0.10       50         6357.00    4377.40    4181.50   
0.25       0.10       50         4290.00    2577.20    2915.00   
0.50       0.10       50         2180.00    1354.20    1344.00   
0.75       0.10       50         1666.00    703.60     893.00    
0.90       0.10       50         383.00     114.90     0.00      
0.10       0.25       50         6991.00    5351.70    4951.00   
0.25       0.25       50         5171.00    2836.20    2475.50   
0.50       0.25       50         2245.00    1397.80    1324.00   
0.75       0.25       50         1554.00    893.60     895.00    
0.90       0.25       50         1857.00    517.50     383.00    
0.10       0.50       50         6026.00    4401.00    4742.50   
0.25       0.50       50         8019.00    3546.60    3479.50   
0.50       0.50       50         3210.00    1546.70    1315.00   
0.75       0.50       50         1023.00    530.30     750.00    
0.90       0.50       50         1133.00    508.70     383.00    
0.10       0.75       50         7853.00    3392.60    3641.50   
0.25       0.75       50         3352.00    1608.10    1343.00   
0.50       0.75       50         2190.00    1152.70    1048.50   
0.75       0.75       50         1554.00    583.20     509.50    
0.90       0.75       50         1857.00    758.20     893.00    
0.10       0.90       50         3353.00    1787.90    2187.50   
0.25       0.90       50         2025.00    1111.70    930.50    
0.50       0.90       50         1554.00    1192.30    1324.00   
0.75       0.90       50         2661.00    1033.70    764.50    
0.90       0.90       50         2180.00    1106.50    930.50    
0.10       0.10       100        6442.00    4485.90    4635.00   
0.25       0.10       100        6148.00    3035.20    2897.50   
0.50       0.10       100        1937.00    1115.80    1343.00   
0.75       0.10       100        1283.00    432.80     191.50    
0.90       0.10       100        893.00     164.30     0.00      
0.10       0.25       100        6124.00    4275.30    4472.00   
0.25       0.25       100        4123.00    2743.70    2668.00   
0.50       0.25       100        3205.00    1554.00    1470.00   
0.75       0.25       100        1857.00    539.90     383.00    
0.90       0.25       100        897.00     408.90     383.00    
0.10       0.50       100        7060.00    3764.50    3827.50   
0.25       0.50       100        5796.00    3734.20    3201.50   
0.50       0.50       100        2360.00    1100.00    1311.00   
0.75       0.50       100        1341.00    440.20     383.00    
0.90       0.50       100        897.00     368.50     383.00    
0.10       0.75       100        4874.00    3601.80    3409.50   
0.25       0.75       100        4096.00    2390.00    2398.00   
0.50       0.75       100        1470.00    364.70     0.00      
0.75       0.75       100        750.00     264.90     191.50    
